0333785437,15014,0355,00000,0,00000,0000,00000,0,0,04965,1736,08620,1,0

0333785537,15014,0355,00000,0,00000,0000,00000,0,0,04975,1378,06853,1,0

0333785637,15007,0500,00000,0,00000,0000,00000,0,0,04978,1390,06919,1,0

0333785737,15007,0500,00000,0,00000,0000,00000,0,0,04966,1361,06761,1,0

0333785837,15007,0500,00000,0,00000,0000,00000,0,0,04978,1419,07062,1,0

0333785937,14993,0510,00000,0,00000,0000,00000,0,0,04974,1070,05324,1,0

0333786037,14993,0510,00000,0,00000,0006,00000,0,0,04987,1109,05528,1,0

0333786137,14993,0510,00000,0,00000,0001,00000,0,0,04973,1127,05606,1,0

0333786237,15001,0433,00000,0,00000,0003,00000,0,0,04970,1446,07184,1,0

0333786337,15001,0433,00000,0,00000,0000,00000,0,0,04976,1333,06629,1,0

0333786437,15001,0433,00000,0,00000,0000,00000,0,0,04978,1084,05395,1,0

0333786537,15010,0449,00000,0,00000,0002,00000,0,0,04980,1150,05728,1,0

0333786637,15010,0449,00000,0,00000,0000,00000,0,0,04976,1305,06493,1,0

0333786737,15010,0449,00000,0,00000,0000,00000,0,0,04983,1055,05257,1,0

0333786837,15002,0434,00000,0,00000,0004,00000,0,0,04978,1113,05539,1,0

0333786937,15002,0434,00000,0,00000,0000,00000,0,0,04977,1072,05336,1,0

0333787037,15002,0434,00000,0,00000,0003,00000,0,0,04978,1216,06054,1,0

0333787137,14978,0513,00000,0,00000,0002,00000,0,0,04979,1097,05462,1,0

0333787237,14978,0513,00000,0,00000,0003,00000,0,0,04984,1139,05680,1,0

0333787337,14978,0513,00000,0,00000,0002,00000,0,0,04981,1111,05536,1,0

0333787437,15001,0488,00000,0,00000,0002,00000,0,0,04980,1090,05430,1,0

0333787537,15001,0488,00000,0,00000,0000,00000,0,0,04979,1131,05630,1,0

0333787637,15001,0488,00000,0,00000,0000,00000,0,0,04975,1210,06018,1,0

0333787737,15016,0452,00000,0,00000,0004,00000,0,0,04980,1103,05496,1,0

0333787837,15016,0452,00000,0,00000,0000,00000,0,0,04980,1220,06077,1,0

0333787937,15016,0452,00000,0,00000,0000,00000,0,0,04987,1118,05575,1,0

0333788037,15016,0425,00000,0,00000,0003,00000,0,0,04985,1090,05433,1,0

0333788137,15016,0425,00000,0,00000,0000,00000,0,0,04982,1198,05970,1,0

0333788237,15016,0425,00000,0,00000,0000,00000,0,0,04979,1259,06267,1,0

0333788337,14997,0425,00000,0,00000,0000,00000,0,0,04981,1259,06274,1,0

0333788437,14997,0425,00000,0,00000,0001,00000,0,0,04980,1140,05680,1,0

0333788537,14997,0425,00000,0,00000,0006,00000,0,0,04984,1104,05506,1,0

0333788637,14994,0540,00000,0,00000,0000,00000,0,0,04971,1422,07068,1,0

0333788737,14994,0540,00000,0,00000,0000,00000,0,0,04978,1293,06439,1,0

0333788837,14994,0540,00000,0,00000,0001,00000,0,0,04975,1525,07586,1,0

0333788937,15026,0454,00000,0,00000,0000,00000,0,0,04972,1434,07132,1,0

0333789037,15026,0454,00000,0,00000,0000,00000,0,0,04980,1384,06893,1,0

0333789137,15026,0454,00000,0,00000,0000,00000,0,0,04973,1578,07849,1,0

0333789237,14950,0645,00000,0,00000,0005,00000,0,0,04971,1450,07206,1,0

0333789337,14950,0645,00000,0,00000,0000,00000,0,0,04972,1468,07295,1,0

0333789437,14950,0645,00000,0,00000,0000,00000,0,0,04969,1471,07309,1,0

